@relation 'alcowatch_features-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-F2-S3-weka.filters.unsupervised.attribute.Remove-R2-8,10,15-17,19-24,36-37,41-43,45,49-53,58'

@attribute numSteps numeric
@attribute bandpower numeric
@attribute totalHarmonicDistortion numeric
@attribute xzSwayArea numeric
@attribute xySwayArea numeric
@attribute yzSwayArea numeric
@attribute distYForward numeric
@attribute rollVelVarianceForward numeric
@attribute rollVelMedianBackward numeric
@attribute rollVelVarianceBackward numeric
@attribute pitchVelMedianForward numeric
@attribute pitchVelVarianceForward numeric
@attribute pitchVelMedianBackward numeric
@attribute pitchVelVarianceBackward numeric
@attribute yawVelMedianForward numeric
@attribute yawVelVarianceForward numeric
@attribute yawVelMedianBackward numeric
@attribute yawVelVarianceBackward numeric
@attribute pitchForward numeric
@attribute pitchBackward numeric
@attribute yawForward numeric
@attribute xVelMedianBackward numeric
@attribute yVelMedianForward numeric
@attribute yVelVarianceForward numeric
@attribute yVelMedianBackward numeric
@attribute height numeric
@attribute weight numeric
@attribute age numeric
@attribute gender {0,1,2}
@attribute class {no_goggles_green_goggles,black_goggles_red_goggles_orange_goggles}

@data
11,12.691887,-7.239779,5.04667,2.559294,1.774841,-0.154944,0,?,?,-0.11601,0,?,?,0.071789,0,?,?,-0.204351,?,0.126457,-0.296392,-0.253011,0.181695,0.227581,190,150,18,1,no_goggles_green_goggles
10,14.129893,-9.478803,4.351146,2.135847,1.630493,-0,0.784795,0.865689,0.963862,0.073553,0.006382,-0.327323,0.066054,-0.157907,0.679871,-0.931598,0.914173,0.000028,-0.000081,-0.000063,-0.000377,-0.000666,0,0.000477,190,150,18,1,no_goggles_green_goggles
10,12.61686,-5.329176,5.804085,2.801822,2.059261,-0.48763,0.436574,0.285442,1.130105,0.064102,0.00774,-0.228797,0.009191,-0.231343,0.617058,-0.208184,1.102958,0.017858,-0.132753,0.055416,-0.477842,-0.633533,0.107231,0.405365,190,150,18,1,no_goggles_green_goggles
10,4.164252,3.735447,2.612456,1.628851,1.151947,-0.321642,0.363275,0.917367,0.383594,0.001049,0.001797,-0.201888,0.070339,0.232427,0.222446,-0.487152,0.549028,0.003121,-0.026896,0.039555,-0.27683,-0.397848,0.038219,0.334411,190,150,18,1,no_goggles_green_goggles
11,15.29023,-8.40517,3.815795,1.690321,1.225489,-0.023659,0.340977,0.638083,0.577049,0.059098,0.004388,-0.201941,0.030507,0.124776,0.363651,-0.70989,0.441235,0.031124,-0.062363,0.032149,-0.180084,0.005254,0.310181,-0.208736,190,150,18,1,no_goggles_green_goggles
12,15.783155,-5.67142,4.076176,1.73959,1.240536,-0.437148,0.465461,0.556568,0.346394,0.050218,0.00922,-0.333161,0.15438,0.266747,0.695987,-0.823713,0.863397,0.023052,-0.070748,0.100963,-0.248826,-0.50818,0.583107,0.430596,190,150,18,1,no_goggles_green_goggles
8,12.079108,-1.590406,5.392691,1.935165,1.573215,-0.392135,0.320136,1.015129,0.049154,0.051605,0.012092,-0.236854,0.006733,0.258776,0.316146,-0.948867,0.042325,0.030125,-0.084589,0.144608,-0.287057,-0.499521,0.016407,0.365626,190,150,18,1,no_goggles_green_goggles
12,10.283423,2.85924,4.192328,1.770599,1.202924,-0.185388,0.34243,0.707844,0.656952,0.007144,0.013256,-0.230152,0.094288,0.250947,0.679749,-0.46461,0.575243,0.029649,-0.031706,0.046409,-0.437027,-0.40988,0.088802,0.430429,190,150,18,1,no_goggles_green_goggles
13,12.142686,-10.119945,6.632792,3.488424,2.696763,-0.415104,?,-2.170444,0,?,?,-0.133323,0,?,?,0.880147,0,?,-0.088233,?,-0.439054,-0.673615,0.058448,0.36684,190,150,18,1,no_goggles_green_goggles
11,10.728087,-9.129761,5.743398,2.871721,1.615434,-0.353511,0.874586,-0.121708,0.335714,-0.006464,0.001287,-0.09102,0.059739,-0.778787,0.793811,0.205966,0.563719,-0.002926,-0.057409,-0.093263,-0.396065,-0.493252,0.001406,0.247321,190,150,18,1,no_goggles_green_goggles
13,15.923844,0.712612,2.311471,1.023613,0.758981,-0.616138,0.428356,0.710554,0.356888,0.02234,0.000617,-0.156888,0.020485,-0.214779,0.294232,-0.704804,0.383568,0.008034,-0.042767,0.043055,-0.28805,-0.716066,0.025078,0.552655,190,150,18,1,no_goggles_green_goggles
7,11.307151,-10.56438,7.267701,3.434048,2.651956,-0,0.810257,-0.283711,0.666597,0.024452,0.071075,-0.06323,0.138142,0.359347,1.16404,0.521946,1.083597,0.000004,-0.000025,0.000001,-0.000222,-0.000532,0,0.000485,190,150,18,1,no_goggles_green_goggles
10,11.925715,-8.294278,4.321161,1.660793,1.342583,-0,0.612345,0.125991,0.955235,-0.116427,0.018485,-0.084582,0.035954,0.482813,0.674603,-0.080193,0.713185,-0.000014,-0.000014,0.000049,-0.000384,-0.000361,0,0.000292,190,150,18,1,no_goggles_green_goggles
11,8.922642,-4.991283,2.986701,1.403547,1.017276,-0.222376,0.272568,0.101844,0.356258,0.024168,0.003639,-0.173017,0.073121,0.399809,0.428636,-0.089832,0.432655,0.008227,-0.021807,0.046674,-0.375282,-0.280817,0.012125,0.429697,190,150,18,1,no_goggles_green_goggles
